Year,Prices in Dollars per Million Btu.Primary Energy.Coal,Prices in Dollars per Million Btu.Primary Energy.NaturalGas,Prices in Dollars per Million Btu.Primary Energy. DistillateFuelOil,Prices in Dollars per Million Btu.Primary Energy.HGL,Prices in Dollars per Million Btu.Primary Energy.Kerosene,Prices in Dollars per Million Btu.Primary Energy.MotorGasoline,Prices in Dollars per Million Btu.Primary Energy.ResidualFuelOil,Prices in Dollars per Million Btu.Primary Energy.Total,Biomass.WoodAndWaste,"Total f,g,h",Electricity Retail Sales,Total Energy
1970,0.44,0.75,1.1,1.24,0.77,2.86,0.45,0.9,0.66,0.8,6.09,1.97
1971,0.48,0.8,1.16,1.29,0.81,2.91,0.61,1.02,0.69,0.87,6.44,2.15
1972,0.51,0.86,1.16,1.3,0.8,2.9,0.65,1.05,0.69,0.91,6.71,2.32
1973,0.52,0.91,1.37,1.4,0.96,3.11,0.78,1.2,0.8,1,7.06,2.55
1974,1,1.05,2.29,2.44,2.16,4.34,1.89,2.25,1.24,1.46,8.91,3.4
1975,1.31,1.32,2.42,2.53,2.32,4.66,1.91,2.39,1.31,1.68,10.11,4.06
1976,1.23,1.61,2.61,2.77,2.67,4.85,1.87,2.49,1.39,1.9,10.82,4.38
1977,1.3,2,2.98,3.17,2.96,5.15,2.2,2.84,1.57,2.28,11.99,5.12
1978,1.39,2.2,3.11,3.36,3.15,5.3,2.06,2.92,1.64,2.42,12.78,5.49
1979,1.46,2.69,4.56,3.93,4.54,7.15,3.01,4.14,2.35,3.1,13.72,6.27
1980,1.53,3.32,6.45,4.96,6.46,9.77,4.12,5.62,3.1,4.01,16.06,7.83
1981,1.79,3.91,7.96,5.68,7.48,10.96,5.12,6.95,3.79,4.72,18.44,9.47
1982,1.87,4.7,7.68,6.03,7.31,10.44,4.67,6.62,3.82,5.1,20.11,10.34
1983,1.74,5.43,6.61,6.47,7.1,9.12,4.51,6.49,3.57,5.59,20.57,10.91
1984,1.77,5.4,6.6,6.43,8.03,8.93,4.94,6.48,3.85,5.58,20.89,11.12
1985,1.73,5.34,6.33,8.84,8.18,9.01,4.5,6.46,3.71,5.53,21.3,11.63
1986,1.65,4.94,4.19,8.44,5.21,6.77,2.71,4.44,2.97,4.66,21.1,11.2
1987,1.52,4.64,4.46,7.94,5.11,7.22,3.1,4.75,2.87,4.57,20.44,10.96
1988,1.52,4.51,4.18,8.13,6.11,7.33,2.53,4.5,2.9,4.41,20.34,10.81
1989,1.5,4.61,4.89,7.66,6.01,8.04,2.92,5.09,2.66,4.63,20.77,11.25
1990,1.61,4.7,5.97,8.77,7.31,9.15,3.41,6.04,3.02,4.93,21.2,11.87
1991,1.57,4.69,5.46,9.25,6.67,8.98,2.61,5.59,2.98,4.8,21.73,12.05
1992,1.58,4.75,5.09,8.61,5.96,9.08,2.68,5.37,2.68,4.77,22.15,12.15
1993,1.59,5.08,4.93,8.71,5.64,9.2,2.75,5.14,2.63,4.97,22.4,12.55
1994,1.55,5.35,4.74,8.79,5.94,9.23,2.9,5.05,2.5,5.14,22.35,12.72
1995,1.54,4.94,4.7,8.89,5.55,9.42,3.14,5.14,2.25,4.85,22.29,12.62
1996,1.49,5.26,5.63,10.11,6.4,10.29,3.75,6.18,2.47,5.29,22.17,12.76
1997,1.5,5.67,5.28,10.33,6.18,10.03,3.27,6.1,2.43,5.58,22.03,13.03
1998,1.49,5.38,4.15,9.36,4.88,8.74,2.38,5.1,2.09,5.19,21.48,13.05
1999,1.49,5.22,4.65,9.14,5.33,9.47,2.69,5.56,1.89,5.14,21.01,12.84
2000,1.43,6.54,7.49,11.93,8.87,11.96,4.49,8.27,2.99,6.73,21.52,13.9
2001,1.55,8.32,6.7,12.9,8.38,11.52,4.06,7.89,3.22,8.03,22.99,15.54
2002,1.6,6.49,6.22,10.53,8.14,10.83,4.08,7.15,2.81,6.46,22.81,14.66
2003,1.55,8.07,7.63,12.5,9.8,12.28,5.3,8.6,3.48,7.99,23.54,15.61
2004,1.78,9.19,9.59,14.48,11.41,14.49,5.26,10.17,3.54,9.12,23.95,16.55
2005,2.16,10.98,13.64,16.92,14.96,17.95,7.48,13.56,4.67,11.17,25.4,18.59
2006,2.32,11.6,15.8,18.87,18.73,20.33,8.69,15.95,4.73,12.11,27.72,20.63
2007,2.36,10.99,17.37,20.74,21.13,22.27,9.71,17.61,5.59,11.86,28.27,20.74
2008,3.75,11.89,24.04,24.61,25.61,26.02,13.18,23.15,6.58,13.5,30.06,22.28
2009,4.25,9.7,14.78,19.49,21.92,18.87,9.9,15.61,4.76,10.5,29.77,20.67
2010,3.73,9.2,18.47,21.62,24.43,22.46,12.9,18.97,5.43,10.65,29.87,20.92
2011,3.99,8.79,24.69,25.3,28.4,28.44,17.34,24.48,5.94,11.17,30,21.18
2012,4.39,8.03,25.34,19.5,30.06,29.13,18.4,23.8,5.47,10.37,29.57,21.01
2013,4.18,8.06,24.79,19.7,30.05,28.37,17.41,23.34,5.56,10.07,30.07,20.64
2014,4.03,8.8,23.16,21.3,30.65,27.05,15.79,22.91,5.64,10.61,31.48,21.43
2015,4.19,7.8,14.26,12.66,16.85,20.5,8.86,16.61,4.25,9.51,31.18,20.72
2016,4.67,7.2,11.8,12.04,13.43,18.27,6.8,14.65,3.47,8.62,30.58,20.17
2017,5.06,7.8,14.03,15.76,16.82,20.53,8.94,17.1,3.74,9.55,31.25,20.86
2018,5.17,7.7,17.57,16.8,24.61,22.87,11.63,19.63,4.11,9.86,31.27,20.66
2019,5.4,7.55,16.22,13.59,22.84,22.07,11.4,18.12,4.56,9.5,31.29,20.4